MoleculeName
UniProt:P04439 HLA-A
UniProt:P01893 HLA-H
UniProt:P17693 HLA-G
UniProt:P30511 HLA-F
UniProt:P10321 HLA-C
UniProt:P13747 HLA-E
UniProt:P01889 HLA-B
UniProt:P30101 PDIA3
UniProt:P27797 CALR
UniProt:O15533 TAPBP
UniProt:Q03518 TAP1
UniProt:Q03519 TAP2
UniProt:P61769 B2M
UniProt:O43242 PSMD3
UniProt:P60900 PSMA6
UniProt:Q13200 PSMD2
UniProt:P28066 PSMA5
UniProt:Q9UNM6 PSMD13
UniProt:P25789 PSMA4
UniProt:O00232 PSMD12
UniProt:P25788 PSMA3
UniProt:O00231 PSMD11
UniProt:P25787 PSMA2
UniProt:P60896 SEM1
UniProt:O75832 PSMD10
UniProt:P25786 PSMA1
UniProt:Q99460 PSMD1
UniProt:O00487 PSMD14
UniProt:P62333 PSMC6
UniProt:P62195 PSMC5
UniProt:P43686 PSMC4
UniProt:P17980 PSMC3
UniProt:P35998 PSMC2
UniProt:P62191 PSMC1
UniProt:P28065 PSMB9
UniProt:P28062 PSMB8
UniProt:A5LHX3 PSMB11
UniProt:Q14997 PSME4
UniProt:Q99436 PSMB7
UniProt:P28072 PSMB6
UniProt:Q8TAA3 PSMA8
UniProt:Q92530 PSMF1
UniProt:P61289 PSME3
UniProt:P28074 PSMB5
UniProt:Q9UL46 PSME2
UniProt:P28070 PSMB4
UniProt:Q06323 PSME1
UniProt:O00233 PSMD9
UniProt:P49720 PSMB3
UniProt:P48556 PSMD8
UniProt:P49721 PSMB2
UniProt:P51665 PSMD7
UniProt:Q15008 PSMD6
UniProt:P40306 PSMB10
UniProt:Q16401 PSMD5
UniProt:P20618 PSMB1
UniProt:P55036 PSMD4
UniProt:O14818 PSMA7
UniProt:P22897 MRC1
UniProt:Q9UBG0 MRC2
UniProt:P12314 FCGR1A
UniProt:Q92637 FCGR1BP
UniProt:Q9UJ71 CD207
UniProt:O60911 CTSV
UniProt:P07711 CTSL
UniProt:P25774 CTSS
UniProt:Q9UIQ6 LNPEP
UniProt:Q9Y6K9 IKBKG
UniProt:O15111 CHUK
UniProt:O14920 IKBKB
UniProt:O00161 SNAP23
UniProt:Q99836 MYD88
UniProt:P58753 TIRAP
UniProt:P26623 mip
UniProt:P08571 CD14
UniProt:P16671 CD36
UniProt:O60603 TLR2
UniProt:Q9Y2C9 TLR6
UniProt:Q9Y6Y9 LY96
UniProt:O00206 TLR4
UniProt:P02671 FGA
UniProt:P02679 FGG
UniProt:P02675 FGB
UniProt:P06702 S100A9
UniProt:P05109 S100A8
UniProt:P09429 HMGB1
UniProt:P23297 S100A1
UniProt:Q15399 TLR1
UniProt:P30690 porB
UniProt:Q06187 BTK
UniProt:P60468 SEC61B
UniProt:P60059 SEC61G
UniProt:Q9H9S3 SEC61A2
UniProt:P61619 SEC61A1
UniProt:Q9BV40 VAMP8
UniProt:Q15836 VAMP3
UniProt:O75396 SEC22B
UniProt:Q12846 STX4
UniProt:P0CG48 UBC
UniProt:P0CG47 UBB
UniProt:P62987 UBA52
UniProt:P62979 RPS27A
UniProt:P14598 NCF1
UniProt:Q15080 NCF4
UniProt:P19878 NCF2
UniProt:P13498 CYBA
UniProt:P04839 CYBB
UniProt:P06756 ITGAV
UniProt:P18084 ITGB5
