MoleculeName	
UniProt:P49279 SLC11A1	
UniProt:Q5EBL8 PDZD11	
UniProt:Q04656 ATP7A	
UniProt:O00244 ATOX1	
UniProt:P22749 GNLY	
UniProt:P08246 ELANE	
UniProt:P24158 PRTN3	
UniProt:P08311 CTSG	
UniProt:P41797 SSA1	
UniProt:P46587 SSA2	
UniProt:P15516 HTN3	
UniProt:P15515 HTN1	
UniProt:P61626 LYZ	
UniProt:Q6UW15 REG3G	
UniProt:Q06141 REG3A	
UniProt:O75594 PGLYRP1	
UniProt:P14555 PLA2G2A	
UniProt:O95925 EPPIN	
UniProt:P04279 SEMG1	
UniProt:P02788 LTF	
UniProt:P10909 CLU	
UniProt:Q8TDE3 RNASE8	
UniProt:Q93091 RNASE6	
UniProt:Q9H1E1 RNASE7	
UniProt:P12724 RNASE3	
UniProt:Q96LB9 PGLYRP3	
UniProt:Q96LB8 PGLYRP4	
UniProt:P49913 CAMP	
UniProt:Q969E1 LEAP2	
UniProt:P59827 BPIFB4	
UniProt:Q8NFQ5 BPIFB6	
UniProt:Q8N4F0 BPIFB2	
UniProt:Q8TDL5 BPIFB1	
UniProt:Q9NP55 BPIFA1	
UniProt:Q96DR5 BPIFA2	
UniProt:P81605 DCD	
UniProt:P80188 LCN2	
UniProt:P06702 S100A9	
UniProt:P05109 S100A8	
UniProt:Q86SG5 S100A7A	
UniProt:P31151 S100A7	
UniProt:P10645 CHGA	
UniProt:Q96PD5 PGLYRP2	
UniProt:Q8WWA0 ITLN1	
UniProt:P17213 BPI	
UniProt:P19957 PI3	
UniProt:P12838 DEFA4	
UniProt:P59666 DEFA3	
UniProt:P59665 DEFA1	
UniProt:Q01523 DEFA5	
UniProt:P01730 CD4	
UniProt:Q01524 DEFA6	
UniProt:P04578 env	
UniProt:P35030 PRSS3	
UniProt:P07478 PRSS2	
UniProt:P52961 ART1	
UniProt:Q30KP8 DEFB136	
UniProt:Q9H1M3 DEFB129	
UniProt:Q5J5C9 DEFB121	
UniProt:Q30KP9 DEFB135	
UniProt:Q8N687 DEFB125	
UniProt:Q4QY38 DEFB134	
UniProt:Q7Z7B8 DEFB128	
UniProt:P59861 DEFB131A	
UniProt:Q8N690 DEFB119	
UniProt:Q8NES8 DEFB124	
UniProt:Q9H1M4 DEFB127	
UniProt:Q8N688 DEFB123	
UniProt:Q7Z7B7 DEFB132	
UniProt:Q9BYW3 DEFB126	
UniProt:Q8WTQ1 DEFB104A	
UniProt:P0DP74 DEFB130A	
UniProt:Q96PH6 DEFB118	
UniProt:Q30KQ4 DEFB116	
UniProt:Q30KQ5 DEFB115	
UniProt:Q8IZN7 DEFB107A	
UniProt:Q30KQ9 DEFB110	
UniProt:Q30KQ1 DEFB133	
UniProt:Q30KQ3 Beta-defensin 117	
UniProt:P0DP73 DEFB130B	
UniProt:Q8N104 DEFB106A	
UniProt:Q30KQ7 DEFB113	
UniProt:Q8NG35 DEFB105A	
UniProt:Q30KQ6 DEFB114	
UniProt:Q30KQ8 DEFB112	
UniProt:Q8NET1 DEFB108B	
UniProt:O15263 DEFB4A	
UniProt:P81534 DEFB103A	
UniProt:P60022 DEFB1	
UniProt:A8MXU0 DEFB108A	
UniProt:Q30KR1 DEFB109B	
UniProt:Q15399 TLR1	
UniProt:O60603 TLR2	
UniProt:P51684 CCR6	
UniProt:P41597 CCR2	
