MoleculeName
UniProt:O14867 BACH1
UniProt:O60675 MAFK
UniProt:O75376 NCOR1
UniProt:O15379 HDAC3
UniProt:P20393 NR1D1
UniProt:O15172 PSPHP1
UniProt:O15516 CLOCK
UniProt:Q99743 NPAS2
UniProt:O00327 BMAL1
UniProt:P48552 NRIP1
UniProt:P35398 RORA
UniProt:Q9UBK2 PPARGC1A
UniProt:Q09472 EP300
UniProt:P09601 HMOX1
UniProt:Q16236 NFE2L2
UniProt:P69905 HBA1
UniProt:P68871 HBB
UniProt:Q9P126 CLEC1B
UniProt:Q7Z5J4 RAI1
UniProt:Q96EB6 SIRT1
UniProt:Q96NT5 SLC46A1
UniProt:Q9Y6Y9 LY96
UniProt:O00206 TLR4
UniProt:O14980 XPO1
UniProt:Q06413 MEF2C
UniProt:Q14814 MEF2D
UniProt:P16220 CREB1
UniProt:Q6UUV7 CRTC3
UniProt:Q53ET0 CRTC2
UniProt:Q6UUV9 CRTC1
UniProt:P15336 ATF2
UniProt:P02647 APOA1
UniProt:P04114 APOB
UniProt:Q9BZK7 TBL1XR1
UniProt:Q9BYK8 HELZ2
UniProt:Q3L8U1 CHD9
UniProt:Q15788 NCOA1
UniProt:Q96RS0 TGS1
UniProt:Q92793 CREBBP
UniProt:Q15596 NCOA2
UniProt:Q14686 NCOA6
UniProt:Q6STE5 SMARCD3
UniProt:Q86X55 CARM1
UniProt:Q15648 MED1
UniProt:P19793 RXRA
UniProt:Q07869 PPARA
UniProt:O60907 TBL1X
UniProt:P34931 HSPA1L
UniProt:P54652 HSPA2
UniProt:P11142 HSPA8
UniProt:P0DMV8 HSPA1A
UniProt:P0DMV9 HSPA1B
UniProt:P25685 DNAJB1
UniProt:Q00613 HSF1
UniProt:P08238 HSP90AB1
UniProt:P07900 HSP90AA1
UniProt:Q02790 FKBP4
UniProt:Q15185 PTGES3
UniProt:O75506 HSBP1
UniProt:Q9BVC4 MLST8
UniProt:P42345 MTOR
UniProt:Q96B36 AKT1S1
UniProt:Q8N122 RPTOR
UniProt:Q9UJY1 HSPB8
UniProt:P02511 CRYAB
UniProt:Q13557 CAMK2D
UniProt:Q13555 CAMK2G
UniProt:Q13554 CAMK2B
UniProt:Q9UQM7 CAMK2A
UniProt:P27694 RPA1
UniProt:P35244 RPA3
UniProt:P15927 RPA2
UniProt:P68104 EEF1A1
UniProt:P62258 YWHAE
UniProt:P55072 VCP
UniProt:Q9UBN7 HDAC6
UniProt:Q8N163 CCAR2
UniProt:Q99615 DNAJC7
UniProt:O75190 DNAJB6
UniProt:Q99543 DNAJC2
UniProt:Q53FT3 HIKESHI
UniProt:Q0VDF9 HSPA14
UniProt:P11021 HSPA5
UniProt:Q96MM6 HSPA12B
UniProt:O43301 HSPA12A
UniProt:P17066 HSPA6
UniProt:P48723 HSPA13
UniProt:O95757 HSPA4L
UniProt:P38646 HSPA9
UniProt:P34932 HSPA4
UniProt:P48741 HSPA7
UniProt:Q86WX3 RPS19BP1
UniProt:P27361 MAPK3
UniProt:P28482 MAPK1
UniProt:P49841 GSK3B
UniProt:P52948-5 NUP98
UniProt:Q96EE3-1 SEH1L
UniProt:P57740 NUP107
UniProt:Q8NFH3 NUP43
UniProt:Q12769 NUP160
UniProt:Q8NFH4 NUP37
UniProt:Q9BW27 NUP85
UniProt:Q8WUM0 NUP133
UniProt:P55735 SEC13
UniProt:P12270 TPR
UniProt:P49790 NUP153
UniProt:Q99567 NUP88
UniProt:Q5SRE5 NUP188
UniProt:P35658 NUP214
UniProt:Q9BTX1 NDC1
UniProt:Q8TEM1 NUP210
UniProt:Q96HA1 POM121
UniProt:A8CG34 POM121C
UniProt:Q8NFH5 NUP35
UniProt:Q8N1F7 NUP93
UniProt:O75694 NUP155
UniProt:Q92621 NUP205
UniProt:Q96EE3-2 SEH1L
UniProt:P78406 RAE1
UniProt:P52948-3 NUP98
UniProt:P52948-4 NUP98
UniProt:P37198 NUP62
UniProt:Q9BVL2-2 NUP58
UniProt:Q9BVL2-1 NUP58
UniProt:Q7Z3B4 NUP54
UniProt:Q9UKX7 NUP50
UniProt:Q9NRG9 AAAS
UniProt:P49792 RANBP2
UniProt:O15504 NUP42
UniProt:Q13535 ATR
UniProt:Q13315 ATM
UniProt:P49137 MAPKAPK2
UniProt:Q92598 HSPH1
UniProt:O95429 BAG4
UniProt:Q99933 BAG1
UniProt:O95816 BAG2
UniProt:O95817 BAG3
UniProt:Q9UL15 BAG5
UniProt:P50502 ST13
UniProt:O43242 PSMD3
UniProt:P60900 PSMA6
UniProt:Q13200 PSMD2
UniProt:P28066 PSMA5
UniProt:Q9UNM6 PSMD13
UniProt:P25789 PSMA4
UniProt:O00232 PSMD12
UniProt:P25788 PSMA3
UniProt:O00231 PSMD11
UniProt:P25787 PSMA2
UniProt:P60896 SEM1
UniProt:O75832 PSMD10
UniProt:P25786 PSMA1
UniProt:Q99460 PSMD1
UniProt:O00487 PSMD14
UniProt:P62333 PSMC6
UniProt:P62195 PSMC5
UniProt:P43686 PSMC4
UniProt:P17980 PSMC3
UniProt:P35998 PSMC2
UniProt:P62191 PSMC1
UniProt:P28065 PSMB9
UniProt:P28062 PSMB8
UniProt:A5LHX3 PSMB11
UniProt:Q14997 PSME4
UniProt:Q99436 PSMB7
UniProt:P28072 PSMB6
UniProt:Q8TAA3 PSMA8
UniProt:Q92530 PSMF1
UniProt:P61289 PSME3
UniProt:P28074 PSMB5
UniProt:Q9UL46 PSME2
UniProt:P28070 PSMB4
UniProt:Q06323 PSME1
UniProt:O00233 PSMD9
UniProt:P49720 PSMB3
UniProt:P48556 PSMD8
UniProt:P49721 PSMB2
UniProt:P51665 PSMD7
UniProt:Q15008 PSMD6
UniProt:P40306 PSMB10
UniProt:Q16401 PSMD5
UniProt:P20618 PSMB1
UniProt:P55036 PSMD4
UniProt:O14818 PSMA7
UniProt:O94888 UBXN7
UniProt:P0CG48 UBC
UniProt:P0CG47 UBB
UniProt:P62987 UBA52
UniProt:P62979 RPS27A
UniProt:Q8TAT6 NPLOC4
UniProt:Q92890 UFD1
UniProt:P62877 RBX1
UniProt:Q14145 KEAP1
UniProt:Q13618 CUL3
UniProt:Q9Y243 AKT3
UniProt:P31751 AKT2
UniProt:P31749 AKT1
UniProt:Q969V5 MUL1
UniProt:Q2F514 X
UniProt:Q13501 SQSTM1
UniProt:P58004 SESN2
UniProt:Q9Y6P5 SESN1
UniProt:Q9GZQ8 MAP1LC3B
UniProt:Q05655 PRKCD
UniProt:Q5JTC6 AMER1
UniProt:Q9NY33 DPP3
UniProt:P38936 CDKN1A
UniProt:P38398 BRCA1
UniProt:Q86YC2 PALB2
UniProt:O15525 MAFG
UniProt:Q8N726 CDKN2A
UniProt:P63208 SKP1
UniProt:Q9Y297 BTRC
UniProt:Q13616 CUL1
UniProt:P01106 MYC
UniProt:P46531 NOTCH1
UniProt:P52209 PGD
UniProt:P37837 TALDO1
UniProt:P29401 TKT
UniProt:P11413 G6PD
UniProt:O75874 IDH1
UniProt:P48163 ME1
UniProt:Q06830 PRDX1
UniProt:P18848 ATF4
UniProt:Q9UPY5 SLC7A11
UniProt:P15559 NQO1
UniProt:P00390-2 GSR
UniProt:Q16772 GSTA3
UniProt:P48507 GCLM
UniProt:Q9BYN0 SRXN1
UniProt:P48506 GCLC
UniProt:Q16881 TXNRD1
UniProt:P08263 GSTA1
UniProt:P68400 CSNK2A1
UniProt:P19784 CSNK2A2
UniProt:P67870 CSNK2B
UniProt:Q13309 SKP2
UniProt:Q9UF56 FBXL17
UniProt:P19474 TRIM21
UniProt:P04040 CAT
UniProt:P07203 GPX1
UniProt:P08294 SOD3
UniProt:P00441 SOD1
UniProt:O14618 CCS
UniProt:Q15080 NCF4
UniProt:P14598 NCF1
UniProt:P19878 NCF2
UniProt:P13498 CYBA
UniProt:P04839 CYBB
UniProt:P00390-1 GSR
UniProt:P10599 TXN
UniProt:P18283 GPX2
UniProt:P30044-2 PRDX5
UniProt:P32119 PRDX2
UniProt:P59796 GPX6
UniProt:O75715 GPX5
UniProt:P09211 GSTP1
UniProt:P30041 PRDX6
UniProt:P22352 GPX3
UniProt:Q9NPH5 NOX4
UniProt:Q96PH1 NOX5
UniProt:P30044-1 PRDX5
UniProt:Q99757 TXN2
UniProt:P99999 CYCS
UniProt:Q9NNW7 TXNRD2
UniProt:Q04656 ATP7A
UniProt:O00244 ATOX1
UniProt:P50583 NUDT2
UniProt:P04179 SOD2
UniProt:O94778 AQP8
UniProt:Q96HE7 ERO1A
UniProt:Q8TED1 GPX8
UniProt:Q96SL4 GPX7
UniProt:P07237 P4HB
UniProt:P30048 PRDX3
UniProt:O75182-1 SIN3B
UniProt:Q9Y618 NCOR2
UniProt:Q96ST3 SIN3A
UniProt:P07148 FABP1
UniProt:P40763 STAT3
UniProt:Q13882 PTK6
UniProt:Q9UGK3 STAP2
UniProt:P53004 BLVRA
UniProt:P30043 BLVRB
UniProt:P09669 COX6C
UniProt:P14854 COX6B1
UniProt:O00483 NDUFA4
UniProt:P00403 MT-CO2
UniProt:P12074 COX6A1
UniProt:P15954 COX7C
UniProt:P10606 COX5B
UniProt:P13073 COX4I1
UniProt:O14548 COX7A2L
UniProt:P20674 COX5A
UniProt:P24311 COX7B
UniProt:P00395 MT-CO1
UniProt:P00414 MT-CO3
UniProt:P10176 COX8A
UniProt:P02768 ALB
UniProt:O43819 SCO2
UniProt:Q9BSH4 TACO1
UniProt:O75880 SCO1
UniProt:Q15526 SURF1
UniProt:P42704 LRPPRC
