MoleculeName
UniProt:P11021 HSPA5
UniProt:P27824 CANX
UniProt:P30501 HLA-C
UniProt:P30486 HLA-B
UniProt:P01893 HLA-H
UniProt:P30447 HLA-A
UniProt:P30685 HLA-B
UniProt:P18465 HLA-B
UniProt:P18464 HLA-B
UniProt:P30460 HLA-B
UniProt:P30490 HLA-B
UniProt:P30495 HLA-B
UniProt:P30493 HLA-B
UniProt:P13747 HLA-E
UniProt:P30488 HLA-B
UniProt:P30511 HLA-F
UniProt:P30483 HLA-B
UniProt:P30462 HLA-B
UniProt:P04439 HLA-A
UniProt:Q29940 HLA-B
UniProt:P30443 HLA-A
UniProt:P30475 HLA-B
UniProt:P01889 HLA-B
UniProt:P01892 HLA-A
UniProt:Q04826 HLA-B
UniProt:P10319 HLA-B
UniProt:P30479 HLA-B
UniProt:P04222 HLA-C
UniProt:P30480 HLA-B
UniProt:Q95365 HLA-B
UniProt:Q9TNN7 HLA-C
UniProt:P30481 HLA-B
UniProt:Q31612 HLA-B
UniProt:P30504 HLA-C
UniProt:P17693 HLA-G
UniProt:P30461 HLA-B
UniProt:P30487 HLA-B
UniProt:P30464 HLA-B
UniProt:P30491 HLA-B
UniProt:P30485 HLA-B
UniProt:P30453 HLA-A
UniProt:P03989 HLA-B
UniProt:P30457 HLA-A
UniProt:P10321 HLA-C
UniProt:P30466 HLA-B
UniProt:P30492 HLA-B
UniProt:P30498 HLA-B
UniProt:Q29718 HLA-B
UniProt:P30484 HLA-B
UniProt:P18463 HLA-B
UniProt:Q31610 HLA-B
UniProt:Q29963 HLA-C
UniProt:Q95604 HLA-C
UniProt:Q07000 HLA-C
UniProt:Q29865 HLA-C
UniProt:Q29836 HLA-B
UniProt:P30505 HLA-C
UniProt:P30450 HLA-A
UniProt:P30512 HLA-A
UniProt:P30510 HLA-C
UniProt:P16190 HLA-A
UniProt:Q29960 HLA-C
UniProt:P16189 HLA-A
UniProt:P30508 HLA-C
UniProt:Q09160 HLA-A
UniProt:P30499 HLA-C
UniProt:P18462 HLA-A
UniProt:P01891 HLA-A
UniProt:P30455 HLA-A
UniProt:P10316 HLA-A
UniProt:P30459 HLA-A
UniProt:P13746 HLA-A
UniProt:P10314 HLA-A
UniProt:P16188 HLA-A
UniProt:P30456 HLA-A
UniProt:P05534 HLA-A
UniProt:P30101 PDIA3
UniProt:P27797 CALR
UniProt:O15533 TAPBP
UniProt:P51572 BCAP31
UniProt:Q03518 TAP1
UniProt:Q03519 TAP2
UniProt:P61769 B2M
UniProt:Q9Y6B6 SAR1B
UniProt:O95487 SEC24B
UniProt:O94855 SEC24D
UniProt:P53992 SEC24C
UniProt:O95486 SEC24A
UniProt:Q15436 SEC23A
UniProt:Q14457 BECN1
UniProt:Q99570 PIK3R4
UniProt:Q8NEB9 PIK3C3
UniProt:Q6ZNE5 ATG14
UniProt:P0DTC8 8
UniProt:O94979 SEC31A
UniProt:P55735 SEC13
UniProt:Q6P179 ERAP2
UniProt:Q9NZ08 ERAP1
UniProt:O43242 PSMD3
UniProt:P60900 PSMA6
UniProt:Q13200 PSMD2
UniProt:P28066 PSMA5
UniProt:Q9UNM6 PSMD13
UniProt:P25789 PSMA4
UniProt:O00232 PSMD12
UniProt:P25788 PSMA3
UniProt:O00231 PSMD11
UniProt:P25787 PSMA2
UniProt:P60896 SEM1
UniProt:O75832 PSMD10
UniProt:P25786 PSMA1
UniProt:Q99460 PSMD1
UniProt:O00487 PSMD14
UniProt:P62333 PSMC6
UniProt:P62195 PSMC5
UniProt:P43686 PSMC4
UniProt:P17980 PSMC3
UniProt:P35998 PSMC2
UniProt:P62191 PSMC1
UniProt:P28065 PSMB9
UniProt:P28062 PSMB8
UniProt:A5LHX3 PSMB11
UniProt:Q14997 PSME4
UniProt:Q99436 PSMB7
UniProt:P28072 PSMB6
UniProt:Q8TAA3 PSMA8
UniProt:Q92530 PSMF1
UniProt:P61289 PSME3
UniProt:P28074 PSMB5
UniProt:Q9UL46 PSME2
UniProt:P28070 PSMB4
UniProt:Q06323 PSME1
UniProt:O00233 PSMD9
UniProt:P49720 PSMB3
UniProt:P48556 PSMD8
UniProt:P49721 PSMB2
UniProt:P51665 PSMD7
UniProt:Q15008 PSMD6
UniProt:P40306 PSMB10
UniProt:Q16401 PSMD5
UniProt:P20618 PSMB1
UniProt:P55036 PSMD4
UniProt:O14818 PSMA7
UniProt:P22897 MRC1
UniProt:Q9UBG0 MRC2
UniProt:P12314 FCGR1A
UniProt:Q92637 FCGR1BP
UniProt:Q9UJ71 CD207
UniProt:O60911 CTSV
UniProt:P07711 CTSL
UniProt:P25774 CTSS
UniProt:Q9UIQ6 LNPEP
UniProt:Q9Y6K9 IKBKG
UniProt:O15111 CHUK
UniProt:O14920 IKBKB
UniProt:O00161 SNAP23
UniProt:Q99836 MYD88
UniProt:P58753 TIRAP
UniProt:P26623 mip
UniProt:P08571 CD14
UniProt:P16671 CD36
UniProt:O60603 TLR2
UniProt:Q9Y2C9 TLR6
UniProt:Q9Y6Y9 LY96
UniProt:O00206 TLR4
UniProt:P02671 FGA
UniProt:P02679 FGG
UniProt:P02675 FGB
UniProt:P06702 S100A9
UniProt:P05109 S100A8
UniProt:P09429 HMGB1
UniProt:P23297 S100A1
UniProt:Q15399 TLR1
UniProt:P30690 porB
UniProt:Q06187 BTK
UniProt:P60468 SEC61B
UniProt:P60059 SEC61G
UniProt:Q9H9S3 SEC61A2
UniProt:P61619 SEC61A1
UniProt:Q9BV40 VAMP8
UniProt:Q15836 VAMP3
UniProt:O75396 SEC22B
UniProt:Q12846 STX4
UniProt:P0CG48 UBC
UniProt:P0CG47 UBB
UniProt:P62987 UBA52
UniProt:P62979 RPS27A
UniProt:P14598 NCF1
UniProt:Q15080 NCF4
UniProt:P19878 NCF2
UniProt:P13498 CYBA
UniProt:P04839 CYBB
UniProt:P06756 ITGAV
UniProt:P18084 ITGB5
UniProt:Q9P2P5 HECW2
UniProt:Q9C037 TRIM4
UniProt:O15033 AREL1
UniProt:Q86XT4 TRIM50
UniProt:Q9H0C5 BTBD1
UniProt:Q15034 HERC3
UniProt:P62877 RBX1
UniProt:P63208 SKP1
UniProt:Q14999 CUL7
UniProt:Q92990 GLMN
UniProt:Q8N3Y1 FBXW8
UniProt:Q9BWF2 TRAIP
UniProt:Q9NVR0 KLHL11
UniProt:Q8IYU2 HACE1
UniProt:Q15345 LRRC41
UniProt:Q93034 CUL5
UniProt:Q15369 ELOC
UniProt:Q15370 ELOB
UniProt:Q15751 HERC1
UniProt:Q5U5Q3 MEX3C
UniProt:O94972 TRIM37
UniProt:Q8TBB1 LNX1
UniProt:Q99619 SPSB2
UniProt:Q9BV68 RNF126
UniProt:Q86XS8 RNF130
UniProt:Q9BSL1 UBAC1
UniProt:Q5GLZ8 HERC4
UniProt:Q8N7E2 CBLL2
UniProt:Q7Z6J8 UBE3D
UniProt:Q9C026 TRIM9
UniProt:Q96F44 TRIM11
UniProt:O94941 UBOX5
UniProt:Q9H0M0 WWP1
UniProt:Q96EF6 FBXO17
UniProt:Q8NI29 FBXO27
UniProt:Q8IWV7 UBR1
UniProt:Q7Z3V4 UBE3B
UniProt:Q9UHC7 MKRN1
UniProt:Q5T4S7 UBR4
UniProt:Q96L50 LRR1
UniProt:O15524 SOCS1
UniProt:O14543 SOCS3
UniProt:Q969Q1 TRIM63
UniProt:Q96A44 SPSB4
UniProt:Q14139 UBE4A
UniProt:Q05086 UBE3A
UniProt:Q9H4M3 FBXO44
UniProt:Q13049 TRIM32
UniProt:Q86Y13 DZIP3
UniProt:Q6UWE0 LRSAM1
UniProt:Q7L5Y6 DET1
UniProt:Q13191 CBLB
UniProt:Q8WVD3 RNF138
UniProt:Q8N6D2 RNF182
UniProt:Q96PM5 RCHY1
UniProt:Q15386 UBE3C
UniProt:Q9H2C0 GAN
UniProt:Q9ULT8 HECTD1
UniProt:O94822 LTN1
UniProt:Q13617 CUL2
UniProt:P40337 VHL
UniProt:Q9UBS8 RNF14
UniProt:Q8WV44 TRIM41
UniProt:Q2Q1W2 TRIM71
UniProt:Q6Q0C0 TRAF7
UniProt:O94874 UFL1
UniProt:Q9HCM9 TRIM39
UniProt:Q7Z6J0 SH3RF1
UniProt:Q9Y576 ASB1
UniProt:Q8WXK1 ASB15
UniProt:Q8WXK3 ASB13
UniProt:Q96DX5 ASB9
UniProt:Q9H672 ASB7
UniProt:Q9H765 ASB8
UniProt:Q96Q27 ASB2
UniProt:Q8WWX0 ASB5
UniProt:A6NK59 ASB14
UniProt:Q6ZVZ8 ASB18
UniProt:Q9Y574 ASB4
UniProt:Q96NS5 ASB16
UniProt:Q8WXI3 ASB10
UniProt:Q8WXK4 ASB12
UniProt:Q8WXH4 ASB11
UniProt:Q9NWX5 ASB6
UniProt:Q8WXJ9 ASB17
UniProt:Q9Y575 ASB3
UniProt:Q9UBF6 RNF7
UniProt:Q6ZNA4 RNF111
UniProt:Q5VTB9 RNF220
UniProt:Q96BH1 RNF25
UniProt:Q9H4P4 RNF41
UniProt:O60260 PRKN
UniProt:P78317 RNF4
UniProt:O95714 HERC2
UniProt:Q9HCE7 SMURF1
UniProt:Q13618 CUL3
UniProt:Q05516 ZBTB16
UniProt:Q9P2K6 KLHL42
UniProt:C9JR72 KBTBD13
UniProt:Q9P2N7 KLHL13
UniProt:Q14145 KEAP1
UniProt:Q53GT1 KLHL22
UniProt:Q9Y2M5 KLHL20
UniProt:Q96KE9 BTBD6
UniProt:Q96PQ7 KLHL5
UniProt:O60662 KLHL41
UniProt:Q9H0H3 KLHL25
UniProt:Q86V97 KBTBD6
UniProt:Q9UJP4 KLHL21
UniProt:Q9P2J3 KLHL9
UniProt:O95198 KLHL2
