MoleculeName	
UniProt:P11021 HSPA5	
UniProt:P27824 CANX	
UniProt:P04439 HLA-A	
UniProt:P01893 HLA-H	
UniProt:P17693 HLA-G	
UniProt:P30511 HLA-F	
UniProt:P10321 HLA-C	
UniProt:P13747 HLA-E	
UniProt:P01889 HLA-B	
UniProt:P30101 PDIA3	
UniProt:P27797 CALR	
UniProt:O15533 TAPBP	
UniProt:P51572 BCAP31	
UniProt:Q03518 TAP1	
UniProt:Q03519 TAP2	
UniProt:P61769 B2M	
UniProt:Q9Y6B6 SAR1B	
UniProt:O95487 SEC24B	
UniProt:O94855 SEC24D	
UniProt:P53992 SEC24C	
UniProt:O95486 SEC24A	
UniProt:Q15436 SEC23A	
UniProt:Q14457 BECN1	
UniProt:Q99570 PIK3R4	
UniProt:Q8NEB9 PIK3C3	
UniProt:Q6ZNE5 ATG14	
UniProt:P0DTC8 8	
UniProt:O94979 SEC31A	
UniProt:P55735 SEC13	
UniProt:Q6P179 ERAP2	
UniProt:Q9NZ08 ERAP1	
