MoleculeName
UniProt:Q16621 NFE2
UniProt:Q9ULX9 MAFF
UniProt:O15525 MAFG
UniProt:O60675 MAFK
UniProt:P05015 IFNA16
UniProt:P01562 IFNA1
UniProt:P01568 IFNA21
UniProt:P05014 IFNA4
UniProt:P01567 IFNA7
UniProt:P32881 IFNA8
UniProt:P01566 IFNA10
UniProt:P01569 IFNA5
UniProt:P01563 IFNA2
UniProt:P01570 IFNA14
UniProt:P01571 IFNA17
UniProt:P05013 IFNA6
UniProt:P01574 IFNB1
UniProt:P10914 IRF1
UniProt:P14316 IRF2
UniProt:O15315 RAD51B
UniProt:O43502 RAD51C
UniProt:O14492 SH2B2
UniProt:Q9UQQ2 SH2B3
UniProt:Q9NRF2 SH2B1
UniProt:O60674 JAK2
UniProt:Q9UKL0 RCOR1
UniProt:Q9P0W2 HMG20B
UniProt:Q92769 HDAC2
UniProt:Q13547 HDAC1
UniProt:Q96BD5 PHF21A
UniProt:O60341 KDM1A
UniProt:Q9H1K0 RBSN
UniProt:Q9NZN4 EHD2
UniProt:Q9NZN3 EHD3
UniProt:Q9H4M9 EHD1
UniProt:Q9UIJ7 AK3
UniProt:P10242 MYB
UniProt:P04637 TP53
UniProt:Q96ST3 SIN3A
UniProt:Q8TDN4 CABLES1
UniProt:P30291 WEE1
UniProt:P24941 CDK2
UniProt:P47756 CAPZB
UniProt:P47755 CAPZA2
UniProt:P52907 CAPZA1
UniProt:P60709 ACTB
UniProt:P45973 CBX5
UniProt:P68431 H3C1
UniProt:Q71DI3 H3C15
UniProt:P84243 H3-3A
UniProt:Q8IWA4 MFN1
UniProt:O95140 MFN2
UniProt:Q5VZK9 CARMIL1
UniProt:P20339 RAB5A
UniProt:Q9NRW7 VPS45
UniProt:Q8IX07 ZFPM1
UniProt:Q8WW38 ZFPM2
UniProt:P23769 GATA2
UniProt:Q92908 GATA6
UniProt:Q9BWX5 GATA5
UniProt:P15976 GATA1
UniProt:P23771 GATA3
UniProt:P43694 GATA4
UniProt:Q9BW19 KIFC1
UniProt:Q9H0H5 RACGAP1
UniProt:O95235 KIF20A
UniProt:Q02241 KIF23
UniProt:Q9HAQ2 KIF9
UniProt:Q9Y496 KIF3A
UniProt:O15066 KIF3B
UniProt:O14782 KIF3C
UniProt:Q92845 KIFAP3
UniProt:B7ZC32 KIF28P
UniProt:O60333 KIF1B
UniProt:O75037 KIF21B
UniProt:Q96Q89 KIF20B
UniProt:Q6ZMV9 KIF6
UniProt:O43896 KIF1C
UniProt:Q86VH2 KIF27
UniProt:Q96L93 KIF16B
