MoleculeName
UniProt:P01241 GH1
UniProt:P01242 GH2
UniProt:P01236 PRL
UniProt:P0DML2 CSH1
UniProt:P16471 PRLR
UniProt:O60674 JAK2
UniProt:Q9NRF2-2 SH2B1
UniProt:P51692 STAT5B
UniProt:P42229 STAT5A
UniProt:Q06124 PTPN11
UniProt:P63208 SKP1
UniProt:Q13616 CUL1
UniProt:P62877 RBX1
UniProt:Q9Y297 BTRC
UniProt:P10912 GHR
UniProt:Q14653 IRF3
UniProt:Q13526 PIN1
UniProt:P05161 ISG15
UniProt:Q3LFD5 USP41
UniProt:Q9UMW8 USP18
UniProt:P20592 MX2
UniProt:P20591 MX1
UniProt:O95786 RIGI
UniProt:P19525 EIF2AK2
UniProt:P09914 IFIT1
UniProt:P19174 PLCG1
UniProt:P27361 MAPK3
UniProt:P51965 UBE2E1
UniProt:P23458 JAK1
UniProt:P42224 STAT1
UniProt:Q14258 TRIM25
UniProt:Q9Y4X5 ARIH1
UniProt:Q9UII4 HERC5
UniProt:O14933 UBE2L6
UniProt:O60573 EIF4E2
UniProt:P03496 NS
UniProt:Q8N5X7 EIF4E3
UniProt:P06730 EIF4E
UniProt:P38919 EIF4A3
UniProt:P60842 EIF4A1
UniProt:Q14240 EIF4A2
UniProt:O43432 EIF4G3
UniProt:P78344 EIF4G2
UniProt:Q04637 EIF4G1
UniProt:P41226 UBA7
UniProt:P46934 NEDD4
UniProt:O75369 FLNB
UniProt:P52948-5 NUP98
UniProt:Q96EE3-1 SEH1L
UniProt:P57740 NUP107
UniProt:Q8NFH3 NUP43
UniProt:Q12769 NUP160
UniProt:Q8NFH4 NUP37
UniProt:Q9BW27 NUP85
UniProt:Q8WUM0 NUP133
UniProt:P55735 SEC13
UniProt:P12270 TPR
UniProt:P49790 NUP153
UniProt:Q99567 NUP88
UniProt:Q5SRE5 NUP188
UniProt:P35658 NUP214
UniProt:Q9BTX1 NDC1
UniProt:Q8TEM1 NUP210
UniProt:Q96HA1 POM121
UniProt:A8CG34 POM121C
UniProt:Q8NFH5 NUP35
UniProt:Q8N1F7 NUP93
UniProt:O75694 NUP155
UniProt:Q92621 NUP205
UniProt:Q96EE3-2 SEH1L
UniProt:P78406 RAE1
UniProt:P52948-3 NUP98
UniProt:P52948-4 NUP98
UniProt:P37198 NUP62
UniProt:Q9BVL2-2 NUP58
UniProt:Q9BVL2-1 NUP58
UniProt:Q7Z3B4 NUP54
UniProt:Q9UKX7 NUP50
UniProt:Q9NRG9 AAAS
UniProt:P49792 RANBP2
UniProt:O15504 NUP42
UniProt:O00629 KPNA4
UniProt:P52294 KPNA1
UniProt:O00505 KPNA3
UniProt:A9QM74 KPNA7
UniProt:P52292 KPNA2
UniProt:O15131 KPNA5
UniProt:Q14974 KPNB1
UniProt:P12493 gag
UniProt:P0CG48 UBC
UniProt:P0CG47 UBB
UniProt:P62987 UBA52
UniProt:P62979 RPS27A
UniProt:P61088 UBE2N
UniProt:O75688 PPM1B
UniProt:P29728 OAS2
UniProt:P00973 OAS1
UniProt:Q15646 OASL
UniProt:Q9Y6K5 OAS3
UniProt:P21333 FLNA
UniProt:Q05823 RNASEL
UniProt:P61221 ABCE1
UniProt:B1NKT1 No name
UniProt:Q6L8Q7 PDE12
UniProt:P52630 STAT2
UniProt:P48551-2 IFNAR2
UniProt:P29597 TYK2
UniProt:P17181 IFNAR1
UniProt:P42224-1 STAT1
UniProt:Q00978 IRF9
UniProt:P42224-2 STAT1
UniProt:P05015 IFNA16
UniProt:P01562 IFNA1
UniProt:P01568 IFNA21
UniProt:P05014 IFNA4
UniProt:P01567 IFNA7
UniProt:P32881 IFNA8
UniProt:P01566 IFNA10
UniProt:P01569 IFNA5
UniProt:P01563 IFNA2
UniProt:P01570 IFNA14
UniProt:P01571 IFNA17
UniProt:P05013 IFNA6
UniProt:P01574 IFNB1
UniProt:O15524 SOCS1
UniProt:O14543 SOCS3
UniProt:P0DTC9 N
UniProt:P29350 PTPN6
UniProt:Q96AZ6 ISG20
UniProt:P32456 GBP2
UniProt:P09913 IFIT2
UniProt:P55265 ADAR
UniProt:P40305 IFI27
UniProt:O14879 IFIT3
UniProt:Q13325 IFIT5
UniProt:P80217 IFI35
UniProt:P13164 IFITM1
UniProt:P18146 EGR1
UniProt:Q9Y3Z3 SAMHD1
UniProt:Q8WXG1 RSAD2
UniProt:Q10589 BST2
UniProt:P09912 IFI6
UniProt:Q6GPH4 XAF1
UniProt:Q01629 IFITM2
UniProt:Q9UHH9 IP6K2
UniProt:Q01628 IFITM3
UniProt:P04439 HLA-A
UniProt:P01893 HLA-H
UniProt:P17693 HLA-G
UniProt:P30511 HLA-F
UniProt:P10321 HLA-C
UniProt:P13747 HLA-E
UniProt:P01889 HLA-B
UniProt:P28062 PSMB8
UniProt:Q15306 IRF4
UniProt:Q13568 IRF5
UniProt:P10914 IRF1
UniProt:O14896 IRF6
UniProt:Q02556 IRF8
UniProt:P14316 IRF2
UniProt:Q92985 IRF7
UniProt:P18031 PTPN1
