MoleculeName	
UniProt:Q92478 CLEC2B	
UniProt:Q9NZS2 KLRF1	
UniProt:P13612 ITGA4	
UniProt:P26010 ITGB7	
UniProt:Q13477-1 MADCAM1	
UniProt:Q6PIL0 IGHV7-81	
UniProt:P01742 IGHV1-69	
UniProt:P01814 IGHV2-70	
UniProt:P01766 IGHV3-13	
UniProt:P01772 IGHV3-33	
UniProt:P01782 IGHV3-9	
UniProt:P01817 IGHV2-5	
UniProt:P01767 IGHV3-53	
UniProt:P01825 IGHV4-59	
UniProt:P01824 IGHV4-39	
UniProt:P01780 IGHV3-7	
UniProt:P01762 IGHV3-11	
UniProt:P01764 IGHV3-23	
UniProt:P23083 IGHV1-2	
UniProt:P01763 IGHV3-48	
UniProt:P01743 IGHV1-46	
UniProt:P06331 IGHV4-34	
UniProt:A2KUC3 IGHV	
UniProt:P01768 IGHV3-30	
UniProt:Q5NV62 IGLV8-61	
UniProt:Q5NV61 IGLV4-3	
UniProt:Q5NV68 IGLV5-37	
UniProt:Q5NV65 IGLV2-18	
UniProt:Q5NV64 IGLV3-16	
UniProt:Q5NV66 IGLV2-33	
UniProt:P01701 IGLV1-51	
UniProt:Q5NV67 IGLV1-36	
UniProt:Q5NV80 IGLV7-43	
UniProt:P01709 IGLV2-8	
UniProt:P01715 IGLV3-1	
UniProt:Q5NV81 IGLV1-44	
UniProt:P01717 IGLV3-25	
UniProt:Q5NV82 IGLV5-45	
UniProt:Q5NV69 IGLV1-40	
UniProt:P01700 IGLV1-47	
UniProt:Q5NV75 IGLV3-22	
UniProt:P01721 IGLV6-57	
UniProt:P01714 IGLV3-19	
UniProt:Q5NV79 IGLV4-60	
UniProt:Q5NV83 IGLV7-46	
UniProt:Q5NV86 IGLV10-54	
UniProt:P80748 IGLV3-21	
UniProt:Q5NV89 IGLV2-23	
UniProt:P01703 IGLV1-40	
UniProt:Q5NV92 IGLV4-69	
UniProt:Q5NV90 IGLV3-25	
UniProt:Q5NV84 IGLV2-11	
UniProt:P04211 IGLV7-43	
UniProt:Q5NV91 IGLV3-27	
UniProt:Q5NV85 IGLV3-12	
UniProt:Q5NV87 IGLV11-55	
UniProt:P01699 IGLV1-44	
UniProt:P01705 IGLV2-23	
UniProt:P01718 IGLV3-27	
UniProt:P01706 IGLV2-11	
UniProt:P01704 IGLV2-14	
UniProt:P0CF74 IGLC6	
UniProt:P0CG04 IGLC1	
UniProt:P0DOY2 IGLC2	
UniProt:P0DOY3 IGLC3	
UniProt:A0M8Q6 IGLC7	
UniProt:P01834 IGKC	
UniProt:P06312 IGKV4-1	
UniProt:P01619 IGKV3-20	
UniProt:P01615 IGKV2D-28	
UniProt:P01601 IGKV1D-16	
UniProt:P01614 IGKV2D-40	
UniProt:A0A0C4DH25 IGKV3D-20	
UniProt:A2NXD2 IGLV	
UniProt:P01611 IGKV1D-12	
UniProt:P01593 IGKV1D-33	
UniProt:P06310 IGKV2-30	
UniProt:P01624 IGKV3-15	
UniProt:P04432 IGKV1D-39	
UniProt:A0A0C4DH73 IGKV1-12	
UniProt:P04433 IGKV3-11	
UniProt:A0A075B6S6 IGKV2D-30	
UniProt:P01597 IGKV1-39	
UniProt:P01599 IGKV1-17	
UniProt:A0A075B6P5 IGKV2-28	
UniProt:P04430 IGKV1-16	
UniProt:P01602 IGKV1-5	
UniProt:P06315 IGKV5-2	
UniProt:P01594 IGKV1-33	
UniProt:A2NJV5 IGKV2-29	
UniProt:P31994 FCGR2B	
UniProt:P08637 FCGR3A	
UniProt:Q9UMD9 COL17A1	
UniProt:Q6GTX8 LAIR1	
UniProt:O76036 NCR1	
UniProt:P20963-1 CD247	
UniProt:P12314 FCGR1A	
UniProt:P03452 HA	
UniProt:P04853 HN	
UniProt:P78310 CXADR	
UniProt:Q86YT9 JAML	
UniProt:O60880 SH2D1A	
UniProt:O14796 SH2D1B	
UniProt:Q96DU3 SLAMF6	
UniProt:Q68D85 NCR3LG1	
UniProt:O14931 NCR3	
UniProt:P06126 CD1A	
UniProt:P61769 B2M	
UniProt:P29017 CD1C	
UniProt:P15813 CD1D	
UniProt:P29016 CD1B	
UniProt:P01733 TRBV12-3	
UniProt:P04435 TRBV7-9	
UniProt:P01850 TRBC1	
UniProt:P01737 TRAV8-4	
UniProt:P04437 TRAV29DV5	
UniProt:A0A0A6YYK7 TRAV19	
UniProt:P01848 TRAC	
UniProt:P07766 CD3E	
UniProt:P09693 CD3G	
UniProt:P04234 CD3D	
UniProt:Q6ISS4 LAIR2	
UniProt:P02461 COL3A1	
UniProt:P08123 COL1A2	
UniProt:P02452 COL1A1	
UniProt:Q9NQ25 SLAMF7	
UniProt:Q8IYS5 OSCAR	
UniProt:P02458 COL2A1	
UniProt:P35247 SFTPD	
UniProt:Q9BZZ2 SIGLEC1	
UniProt:Q96PQ1 SIGLEC12	
UniProt:P20273 CD22	
UniProt:Q96LC7 SIGLEC10	
UniProt:Q9NYZ4 SIGLEC8	
UniProt:O15389 SIGLEC5	
UniProt:Q96RL6 SIGLEC11	
UniProt:O43699 SIGLEC6	
UniProt:P20138 CD33	
UniProt:Q9Y336 SIGLEC9	
UniProt:Q9Y286 SIGLEC7	
UniProt:Q8TD46 CD200R1	
UniProt:P41217 CD200	
UniProt:Q496F6 CD300E	
UniProt:Q8TDQ1 CD300LF	
UniProt:Q08708 CD300C	
UniProt:Q9UGN4 CD300A	
UniProt:Q6UXG3 CD300LG	
UniProt:Q6UXZ3 CD300LD	
UniProt:A8K4G0 CD300LB	
UniProt:Q5T2D2 TREML2	
UniProt:Q9NZC2 TREM2	
UniProt:Q9NP99 TREM1	
UniProt:Q6UXN2 TREML4	
UniProt:O95944 NCR2	
UniProt:Q86YW5 TREML1	
UniProt:Q9UHP7 CLEC2D	
UniProt:Q12918 KLRB1	
UniProt:P25942-1 CD40	
UniProt:P29965 CD40LG	
UniProt:P05556 ITGB1	
UniProt:P43628 KIR2DL3	
UniProt:P43627 KIR2DL2	
UniProt:P10321 HLA-C	
UniProt:Q92692 NECTIN2	
UniProt:Q15762 CD226	
UniProt:P01732 CD8A	
UniProt:P10966 CD8B	
UniProt:P17693 HLA-G	
UniProt:P30511 HLA-F	
UniProt:P13747 HLA-E	
UniProt:P04439 HLA-A	
UniProt:P01893 HLA-H	
UniProt:P01889 HLA-B	
UniProt:P40200 CD96	
UniProt:P15151 PVR	
UniProt:P12830 CDH1	
UniProt:Q96E93 KLRG1	
UniProt:O43914 TYROBP	
UniProt:Q14954 KIR2DS1	
UniProt:P19320 VCAM1	
UniProt:P13164 IFITM1	
UniProt:O15181 cd21	
UniProt:P60033 CD81	
UniProt:P15391 CD19	
UniProt:P01024 C3	
UniProt:P06725 UL83	
UniProt:P43631 KIR2DS2	
UniProt:P43630 KIR3DL2	
UniProt:Q99706 KIR2DL4	
UniProt:Q13241 KLRD1	
UniProt:P26715 KLRC1	
UniProt:Q6UXB4 CLEC4G	
UniProt:Q9NQX5 NPDC1	
UniProt:Q5KU26 COLEC12	
UniProt:Q8IYJ0 PIANP	
UniProt:Q9UKJ1 PILRA	
UniProt:P43629 KIR3DL1	
UniProt:O95727 CRTAM	
UniProt:P05362 ICAM1	
UniProt:P32942 ICAM3	
UniProt:Q14773 ICAM4	
UniProt:Q9UMF0 ICAM5	
UniProt:P13598 ICAM2	
UniProt:P05107 ITGB2	
UniProt:P20701 ITGAL	
UniProt:P43626 KIR2DL1	
