MoleculeName	
UniProt:P52630 STAT2	
UniProt:P48551-2 IFNAR2	
UniProt:P23458 JAK1	
UniProt:P29597 TYK2	
UniProt:P17181 IFNAR1	
UniProt:P61221 ABCE1	
UniProt:Q05823 RNASEL	
UniProt:P52294 KPNA1	
UniProt:P42224-1 STAT1	
UniProt:Q00978 IRF9	
UniProt:P42224-2 STAT1	
UniProt:Q14974 KPNB1	
UniProt:P05015 IFNA16	
UniProt:P01562 IFNA1	
UniProt:P01568 IFNA21	
UniProt:P05014 IFNA4	
UniProt:P01567 IFNA7	
UniProt:P32881 IFNA8	
UniProt:P01566 IFNA10	
UniProt:P01569 IFNA5	
UniProt:P01563 IFNA2	
UniProt:P01570 IFNA14	
UniProt:P01571 IFNA17	
UniProt:P05013 IFNA6	
UniProt:P01574 IFNB1	
UniProt:O15524 SOCS1	
UniProt:O14543 SOCS3	
UniProt:P42224 STAT1	
UniProt:P0DTC9 N	
UniProt:P29350 PTPN6	
UniProt:Q06124 PTPN11	
UniProt:P19525 EIF2AK2	
UniProt:Q96AZ6 ISG20	
UniProt:P32456 GBP2	
UniProt:P09913 IFIT2	
UniProt:P09914 IFIT1	
UniProt:P55265 ADAR	
UniProt:P40305 IFI27	
UniProt:O14879 IFIT3	
UniProt:Q13325 IFIT5	
UniProt:P80217 IFI35	
UniProt:P05161 ISG15	
UniProt:P13164 IFITM1	
UniProt:P00973 OAS1	
UniProt:Q15646 OASL	
UniProt:P29728 OAS2	
UniProt:Q9Y6K5 OAS3	
UniProt:P18146 EGR1	
UniProt:Q9Y3Z3 SAMHD1	
UniProt:Q8WXG1 RSAD2	
UniProt:Q10589 BST2	
UniProt:P09912 IFI6	
UniProt:Q6GPH4 XAF1	
UniProt:Q01629 IFITM2	
UniProt:Q9UHH9 IP6K2	
UniProt:Q01628 IFITM3	
UniProt:P04439 HLA-A	
UniProt:P01893 HLA-H	
UniProt:P17693 HLA-G	
UniProt:P30511 HLA-F	
UniProt:P10321 HLA-C	
UniProt:P13747 HLA-E	
UniProt:P01889 HLA-B	
UniProt:P20592 MX2	
UniProt:P20591 MX1	
UniProt:P28062 PSMB8	
UniProt:Q15306 IRF4	
UniProt:Q13568 IRF5	
UniProt:P10914 IRF1	
UniProt:Q14653 IRF3	
UniProt:O14896 IRF6	
UniProt:Q02556 IRF8	
UniProt:P14316 IRF2	
UniProt:Q92985 IRF7	
UniProt:P0CG48 UBC	
UniProt:P0CG47 UBB	
UniProt:P62987 UBA52	
UniProt:P62979 RPS27A	
UniProt:Q9UMW8 USP18	
UniProt:P18031 PTPN1	
ENSEMBL:ENSG00000119917 IFIT3	
ENSEMBL:ENSG00000137265 IRF4	
ENSEMBL:ENSG00000213928 IRF9	
ENSEMBL:ENSG00000168310 IRF2	
ENSEMBL:ENSG00000185507 IRF7	
ENSEMBL:ENSG00000117595 IRF6	
ENSEMBL:ENSG00000125347 IRF1	
ENSEMBL:ENSG00000128604 IRF5	
ENSEMBL:ENSG00000140968 IRF8	
ENSEMBL:ENSG00000126456 IRF3	
ENSEMBL:ENSG00000126709 IFI6	
ENSEMBL:ENSG00000101347 SAMHD1	
ENSEMBL:ENSG00000120738 EGR1	
ENSEMBL:ENSG00000111335 OAS2	
ENSEMBL:ENSG00000089127 OAS1	
ENSEMBL:ENSG00000111331 OAS3	
ENSEMBL:ENSG00000135114 OASL	
ENSEMBL:ENSG00000130303 BST2	
ENSEMBL:ENSG00000055332 EIF2AK2	
ENSEMBL:ENSG00000160710 ADAR	
ENSEMBL:ENSG00000172183 ISG20	
ENSEMBL:ENSG00000165949 IFI27	
ENSEMBL:ENSG00000068745 IP6K2	
ENSEMBL:ENSG00000142089 IFITM3	
ENSEMBL:ENSG00000187608 ISG15	
ENSEMBL:ENSG00000135828 RNASEL	
ENSEMBL:ENSG00000132530 XAF1	
ENSEMBL:ENSG00000134321 RSAD2	
ENSEMBL:ENSG00000068079 IFI35	
ENSEMBL:ENSG00000206341 HLA-H	
ENSEMBL:ENSG00000204632 HLA-G	
ENSEMBL:ENSG00000234745 HLA-B	
ENSEMBL:ENSG00000204642 HLA-F	
ENSEMBL:ENSG00000204592 HLA-E	
ENSEMBL:ENSG00000206503 HLA-A	
ENSEMBL:ENSG00000204525 HLA-C	
ENSEMBL:ENSG00000152778 IFIT5	
ENSEMBL:ENSG00000162645 GBP2	
ENSEMBL:ENSG00000185745 IFIT1	
ENSEMBL:ENSG00000204264 PSMB8	
ENSEMBL:ENSG00000185885 IFITM1	
ENSEMBL:ENSG00000119922 IFIT2	
ENSEMBL:ENSG00000185201 IFITM2	
ENSEMBL:ENSG00000183486 MX2	
ENSEMBL:ENSG00000157601 MX1	
