MoleculeName
UniProt:P01579 IFNG
UniProt:P23458 JAK1
UniProt:P15260 IFNGR1
UniProt:O60674 JAK2
UniProt:P38484 IFNGR2
UniProt:P04049 RAF1
UniProt:P27361 MAPK3
UniProt:P28482 MAPK1
UniProt:O15105 SMAD7
UniProt:P42224-1 STAT1
UniProt:P67809 YBX1
UniProt:Q6ZN66 GBP6
UniProt:Q96PP8 GBP5
UniProt:Q96PP9 GBP4
UniProt:Q8N8V2 GBP7
UniProt:Q9H0R5 GBP3
UniProt:P32456 GBP2
UniProt:P32455 GBP1
UniProt:Q15306 IRF4
UniProt:Q00978 IRF9
UniProt:Q13568 IRF5
UniProt:P10914 IRF1
UniProt:Q14653 IRF3
UniProt:O14896 IRF6
UniProt:Q02556 IRF8
UniProt:P14316 IRF2
UniProt:Q92985 IRF7
UniProt:P12314 FCGR1A
UniProt:Q92637 FCGR1BP
UniProt:P04439 HLA-A
UniProt:P01893 HLA-H
UniProt:P17693 HLA-G
UniProt:P30511 HLA-F
UniProt:P10321 HLA-C
UniProt:P13747 HLA-E
UniProt:P01889 HLA-B
UniProt:P20036 HLA-DPA1
UniProt:P01909 HLA-DQA1
UniProt:P01903 HLA-DRA
UniProt:P01906 HLA-DQA2
UniProt:P05538 HLA-DQB2
UniProt:P04440 HLA-DPB1
UniProt:P01920 HLA-DQB1
UniProt:Q30154 HLA-DRB5
UniProt:P79483 HLA-DRB3
UniProt:P13762 HLA-DRB4
UniProt:P01911 HLA-DRB1
UniProt:P05362 ICAM1
UniProt:P16070 CD44
UniProt:P19320 VCAM1
UniProt:P13591 NCAM1
UniProt:Q9UDY6 TRIM10
UniProt:Q14134 TRIM29
UniProt:Q7Z4K8 TRIM46
UniProt:Q9UPQ4 TRIM35
UniProt:Q8IWZ4 TRIM48
UniProt:Q9C040 TRIM2
UniProt:Q14142 TRIM14
UniProt:Q9H8W5 TRIM45
UniProt:Q9Y577 TRIM17
UniProt:O75382 TRIM3
UniProt:Q9C030 TRIM6
UniProt:Q9BVG3 TRIM62
UniProt:Q9C035 TRIM5
UniProt:Q14258 TRIM25
UniProt:Q6AZZ1 TRIM68
UniProt:Q9BZY9 TRIM31
UniProt:O00635 TRIM38
UniProt:Q12899 TRIM26
UniProt:P29590 PML
UniProt:O15344 MID1
UniProt:Q8IYM9 TRIM22
UniProt:Q9BYJ4 TRIM34
UniProt:Q9BZR9 TRIM8
UniProt:P19474 TRIM21
UniProt:P02795 MT2A
UniProt:P23497 SP100
UniProt:P25105 PTAFR
UniProt:P13284 IFI30
UniProt:P61769 B2M
UniProt:P33076 CIITA
UniProt:P00973 OAS1
UniProt:Q15646 OASL
UniProt:P29728 OAS2
UniProt:Q9Y6K5 OAS3
UniProt:P29350 PTPN6
UniProt:Q06124 PTPN11
UniProt:P18031 PTPN1
UniProt:P17706-2 PTPN2
UniProt:O15524 SOCS1
UniProt:O14543 SOCS3
UniProt:P63165 SUMO1
UniProt:O75925 PIAS1
UniProt:Q13554 CAMK2B
UniProt:Q9UQM7 CAMK2A
UniProt:Q13557 CAMK2D
UniProt:Q13555 CAMK2G
UniProt:Q05655 PRKCD
ENSEMBL:ENSG00000101665 SMAD7
ENSEMBL:ENSG00000166710 B2M
ENSEMBL:ENSG00000198019 FCGR1B
ENSEMBL:ENSG00000150337 FCGR1A
ENSEMBL:ENSG00000137265 IRF4
ENSEMBL:ENSG00000213928 IRF9
ENSEMBL:ENSG00000168310 IRF2
ENSEMBL:ENSG00000185507 IRF7
ENSEMBL:ENSG00000117595 IRF6
