MoleculeName
UniProt:Q9NQ94 A1CF
UniProt:Q6NTF7 APOBEC3H
UniProt:Q9NRW3 APOBEC3C
UniProt:Q9Y235 APOBEC2
UniProt:Q9UH17 APOBEC3B
UniProt:P31941 APOBEC3A
UniProt:Q8WW27 APOBEC4
UniProt:P41238 APOBEC1
UniProt:P55265 ADAR
UniProt:P78563 ADARB1
UniProt:Q9Y6M1 IGF2BP2
UniProt:O00425 IGF2BP3
UniProt:Q9NZI8 IGF2BP1
UniProt:Q96Q11 TRNT1
UniProt:P62826 RAN
UniProt:O43592 XPOT
UniProt:Q52LJ0 FAM98B
UniProt:Q9Y224 RTRAF
UniProt:Q92499 DDX1
UniProt:Q9BVC5 C2orf49
UniProt:Q9Y3I0 RTCB
UniProt:Q8IWT0 ZBTB8OS
UniProt:Q9BQ52 ELAC2
UniProt:Q92989 CLP1
UniProt:O95639 CPSF4
UniProt:P33240 CSTF2
UniProt:Q8WW01 TSEN15
UniProt:Q10570 CPSF1
UniProt:Q9BSV6 TSEN34
UniProt:Q8NCE0 TSEN2
UniProt:Q7Z6J9 TSEN54
UniProt:P78345 RPP38
UniProt:O95707 POP4
UniProt:Q99575 POP1
UniProt:O75817 POP7
UniProt:O75818 RPP40
UniProt:Q9BUL9 RPP25
UniProt:Q969H6 POP5
UniProt:Q9H633 RPP21
UniProt:O95059 RPP14
UniProt:P78346 RPP30
UniProt:P52948-5 NUP98
UniProt:Q96EE3-1 SEH1L
UniProt:P57740 NUP107
UniProt:Q8NFH3 NUP43
UniProt:Q12769 NUP160
UniProt:Q8NFH4 NUP37
UniProt:Q9BW27 NUP85
UniProt:Q8WUM0 NUP133
UniProt:P55735 SEC13
UniProt:P12270 TPR
UniProt:P49790 NUP153
UniProt:Q99567 NUP88
UniProt:Q5SRE5 NUP188
UniProt:P35658 NUP214
UniProt:Q9BTX1 NDC1
UniProt:Q8TEM1 NUP210
UniProt:Q96HA1 POM121
UniProt:A8CG34 POM121C
UniProt:Q8NFH5 NUP35
UniProt:Q8N1F7 NUP93
UniProt:O75694 NUP155
UniProt:Q92621 NUP205
