MoleculeName	
UniProt:Q13114 TRAF3	
UniProt:Q99558 MAP3K14	
UniProt:Q12933 TRAF2	
UniProt:Q13489 BIRC3	
UniProt:Q13490 BIRC2	
UniProt:P0CG48 UBC	
UniProt:P62979 RPS27A	
UniProt:P0CG47 UBB	
UniProt:P62987 UBA52	
UniProt:P01375 TNF	
UniProt:P20333 TNFRSF1B	
UniProt:Q9Y6Q6 TNFRSF11A	
UniProt:O14788 TNFSF11	
UniProt:P36941 LTBR	
UniProt:P01374 LTA	
UniProt:Q06643 LTB	
UniProt:O43557 TNFSF14	
UniProt:P25942-1 CD40	
UniProt:P29965 CD40LG	
UniProt:Q9Y275 TNFSF13B	
UniProt:Q96RJ3 TNFRSF13C	
UniProt:Q9NP84 TNFRSF12A	
UniProt:O43508 TNFSF12	
UniProt:O43242 PSMD3	
UniProt:P60900 PSMA6	
UniProt:Q13200 PSMD2	
UniProt:P28066 PSMA5	
UniProt:Q9UNM6 PSMD13	
UniProt:P25789 PSMA4	
UniProt:O00232 PSMD12	
UniProt:P25788 PSMA3	
UniProt:O00231 PSMD11	
UniProt:P25787 PSMA2	
UniProt:P60896 SEM1	
UniProt:O75832 PSMD10	
UniProt:P25786 PSMA1	
UniProt:Q99460 PSMD1	
UniProt:O00487 PSMD14	
UniProt:P62333 PSMC6	
UniProt:P62195 PSMC5	
UniProt:P43686 PSMC4	
UniProt:P17980 PSMC3	
UniProt:P35998 PSMC2	
UniProt:P62191 PSMC1	
UniProt:P28065 PSMB9	
UniProt:P28062 PSMB8	
UniProt:A5LHX3 PSMB11	
UniProt:Q14997 PSME4	
UniProt:Q99436 PSMB7	
UniProt:P28072 PSMB6	
UniProt:Q8TAA3 PSMA8	
UniProt:Q92530 PSMF1	
UniProt:P61289 PSME3	
UniProt:P28074 PSMB5	
UniProt:Q9UL46 PSME2	
UniProt:P28070 PSMB4	
UniProt:Q06323 PSME1	
UniProt:O00233 PSMD9	
UniProt:P49720 PSMB3	
UniProt:P48556 PSMD8	
UniProt:P49721 PSMB2	
UniProt:P51665 PSMD7	
UniProt:Q15008 PSMD6	
UniProt:P40306 PSMB10	
UniProt:Q16401 PSMD5	
UniProt:P20618 PSMB1	
UniProt:P55036 PSMD4	
UniProt:O14818 PSMA7	
UniProt:Q01201 RELB	
UniProt:Q00653 NFKB2	
UniProt:P63208 SKP1	
UniProt:Q13616 CUL1	
UniProt:Q9UKB1 FBXW11	
UniProt:Q9Y297 BTRC	
UniProt:O15111 CHUK	
UniProt:P61081 UBE2M	
UniProt:Q8TBC4 UBA3	
UniProt:Q92838 EDA	
UniProt:Q9UNE0 EDAR	
UniProt:O95150 TNFSF15	
UniProt:Q93038 TNFRSF25	
UniProt:Q92838-3 EDA	
UniProt:Q9HAV5 EDA2R	
UniProt:O14836 TNFRSF13B	
UniProt:Q02223 TNFRSF17	
UniProt:O75888 TNFSF13	
UniProt:Q07011 TNFRSF9	
UniProt:P41273 TNFSF9	
UniProt:P43489 TNFRSF4	
UniProt:P23510 TNFSF4	
UniProt:P32970 CD70	
UniProt:P26842 CD27	
UniProt:Q53ZZ1 TNFSF6	
UniProt:O95407 TNFRSF6B	
UniProt:P28908 TNFRSF8	
UniProt:P32971 TNFSF8	
UniProt:O00300 TNFRSF11B	
UniProt:Q9Y5U5 TNFRSF18	
UniProt:Q9UNG2 TNFSF18	
UniProt:Q8WWZ3 EDARADD	
UniProt:Q92956 TNFRSF14	
UniProt:P19438 TNFRSF1A	
