MoleculeName	
UniProt:P20273 CD22	
UniProt:P01880 IGHD	
UniProt:P01766 IGHV3-13	
UniProt:P01768 IGHV3-30	
UniProt:P01814 IGHV2-70	
UniProt:P01767 IGHV3-53	
UniProt:P06331 IGHV4-34	
UniProt:P23083 IGHV1-2	
UniProt:P01817 IGHV2-5	
UniProt:P01743 IGHV1-46	
UniProt:P01824 IGHV4-39	
UniProt:P01763 IGHV3-48	
UniProt:P01782 IGHV3-9	
UniProt:P01780 IGHV3-7	
UniProt:P01762 IGHV3-11	
UniProt:P01825 IGHV4-59	
UniProt:Q6PIL0 IGHV7-81	
UniProt:P01742 IGHV1-69	
UniProt:P01772 IGHV3-33	
UniProt:P01764 IGHV3-23	
UniProt:A2KUC3 IGHV	
UniProt:P01602 IGKV1-5	
UniProt:P06310 IGKV2-30	
UniProt:P01614 IGKV2D-40	
UniProt:P06315 IGKV5-2	
UniProt:A0A075B6S6 IGKV2D-30	
UniProt:P04433 IGKV3-11	
UniProt:A0A0C4DH73 IGKV1-12	
UniProt:A2NXD2 IGLV	
UniProt:P01601 IGKV1D-16	
UniProt:P01624 IGKV3-15	
UniProt:A2NJV5 IGKV2-29	
UniProt:P04432 IGKV1D-39	
UniProt:P01597 IGKV1-39	
UniProt:P01619 IGKV3-20	
UniProt:P01594 IGKV1-33	
UniProt:P04430 IGKV1-16	
UniProt:P01599 IGKV1-17	
UniProt:P06312 IGKV4-1	
UniProt:A0A0C4DH25 IGKV3D-20	
UniProt:P01593 IGKV1D-33	
UniProt:A0A075B6P5 IGKV2-28	
UniProt:P01834 IGKC	
UniProt:P01615 IGKV2D-28	
UniProt:P01611 IGKV1D-12	
UniProt:P01704 IGLV2-14	
UniProt:P01706 IGLV2-11	
UniProt:P01709 IGLV2-8	
UniProt:P01718 IGLV3-27	
UniProt:P01701 IGLV1-51	
UniProt:P04211 IGLV7-43	
UniProt:P01705 IGLV2-23	
UniProt:P01717 IGLV3-25	
UniProt:P01703 IGLV1-40	
UniProt:P80748 IGLV3-21	
UniProt:P01714 IGLV3-19	
UniProt:P01715 IGLV3-1	
UniProt:P01699 IGLV1-44	
UniProt:P01700 IGLV1-47	
UniProt:P01721 IGLV6-57	
UniProt:P0CF74 IGLC6	
UniProt:P0DOY2 IGLC2	
UniProt:P0DOY3 IGLC3	
UniProt:P0CG04 IGLC1	
UniProt:A0M8Q6 IGLC7	
UniProt:P01871 IGHM	
UniProt:P11912 CD79A	
UniProt:P40259 CD79B	
UniProt:P07948 LYN	
UniProt:P29350 PTPN6	
UniProt:O14920 IKBKB	
UniProt:O15111 CHUK	
UniProt:Q9Y6K9 IKBKG	
UniProt:Q04206 RELA	
UniProt:P25963 NFKBIA	
UniProt:O00221 NFKBIE	
UniProt:Q15653 NFKBIB	
UniProt:P19838 NFKB1	
UniProt:Q04864 REL	
UniProt:O43318 MAP3K7	
UniProt:Q9BXL7 CARD11	
UniProt:O95999 BCL10	
UniProt:Q9UDY8 MALT1	
UniProt:P05771 PRKCB	
UniProt:P63208 SKP1	
UniProt:Q13616 CUL1	
UniProt:Q9UKB1 FBXW11	
UniProt:Q9Y297 BTRC	
UniProt:P0CG48 UBC	
UniProt:P0CG47 UBB	
UniProt:P62987 UBA52	
UniProt:P62979 RPS27A	
UniProt:O43242 PSMD3	
UniProt:P60900 PSMA6	
UniProt:Q13200 PSMD2	
UniProt:P28066 PSMA5	
UniProt:Q9UNM6 PSMD13	
UniProt:P25789 PSMA4	
UniProt:O00232 PSMD12	
UniProt:P25788 PSMA3	
UniProt:O00231 PSMD11	
UniProt:P25787 PSMA2	
UniProt:P60896 SEM1	
UniProt:O75832 PSMD10	
UniProt:P25786 PSMA1	
UniProt:Q99460 PSMD1	
UniProt:O00487 PSMD14	
UniProt:P62333 PSMC6	
UniProt:P62195 PSMC5	
UniProt:P43686 PSMC4	
UniProt:P17980 PSMC3	
UniProt:P35998 PSMC2	
UniProt:P62191 PSMC1	
UniProt:P28065 PSMB9	
UniProt:P28062 PSMB8	
UniProt:A5LHX3 PSMB11	
UniProt:Q14997 PSME4	
UniProt:Q99436 PSMB7	
UniProt:P28072 PSMB6	
UniProt:Q8TAA3 PSMA8	
UniProt:Q92530 PSMF1	
UniProt:P61289 PSME3	
UniProt:P28074 PSMB5	
UniProt:Q9UL46 PSME2	
UniProt:P28070 PSMB4	
UniProt:Q06323 PSME1	
UniProt:O00233 PSMD9	
UniProt:P49720 PSMB3	
UniProt:P48556 PSMD8	
UniProt:P49721 PSMB2	
UniProt:P51665 PSMD7	
UniProt:Q15008 PSMD6	
UniProt:P40306 PSMB10	
UniProt:Q16401 PSMD5	
UniProt:P20618 PSMB1	
UniProt:P55036 PSMD4	
UniProt:O14818 PSMA7	
UniProt:O95267 RASGRP1	
UniProt:Q8IV61 RASGRP3	
UniProt:P01116-2 KRAS	
UniProt:P01111 NRAS	
UniProt:P01116-1 KRAS	
UniProt:P01112 HRAS	
UniProt:P63098 PPP3R1	
UniProt:P16298 PPP3CB	
UniProt:Q08209 PPP3CA	
UniProt:P0DP23 CALM1	
UniProt:Q13469 NFATC2	
UniProt:Q12968 NFATC3	
UniProt:O95644 NFATC1	
UniProt:P62937 PPIA	
UniProt:P62942 FKBP1A	
UniProt:P16885 PLCG2	
UniProt:Q9UN19 DAPP1	
UniProt:P15391 CD19	
UniProt:P15498 VAV1	
UniProt:P27986 PIK3R1	
UniProt:O00329 PIK3CD	
UniProt:P62993-1 GRB2	
UniProt:Q14643 ITPR1	
UniProt:Q14573 ITPR3	
UniProt:Q14571 ITPR2	
UniProt:Q13586 STIM1	
UniProt:Q96SN7 ORAI2	
UniProt:Q96D31 ORAI1	
UniProt:P16333 NCK1	
UniProt:P43405 SYK	
UniProt:Q8WV28 BLNK	
UniProt:Q07889 SOS1	
UniProt:Q96B97 SH3KBP1	
UniProt:Q06187 BTK	
UniProt:P48995 TRPC1	
UniProt:P51451 BLK	
UniProt:P06241 FYN	
UniProt:O43865 AHCYL1	
UniProt:Q6ZUJ8 PIK3AP1	
