MoleculeName	
UniProt:Q13153 PAK1	
UniProt:Q13177 PAK2	
UniProt:O75914 PAK3	
UniProt:P16333 NCK1	
UniProt:Q13094 LCP2	
UniProt:O75791 GRAP2	
UniProt:O43561 LAT	
UniProt:P42768 WAS	
UniProt:Q08881 ITK	
UniProt:P19174 PLCG1	
UniProt:P16885 PLCG2	
UniProt:P01730 CD4	
UniProt:P20036 HLA-DPA1	
UniProt:P01909 HLA-DQA1	
UniProt:P01903 HLA-DRA	
UniProt:P01906 HLA-DQA2	
UniProt:P05538 HLA-DQB2	
UniProt:P04440 HLA-DPB1	
UniProt:P01920 HLA-DQB1	
UniProt:Q30154 HLA-DRB5	
UniProt:P79483 HLA-DRB3	
UniProt:P13762 HLA-DRB4	
UniProt:P01911 HLA-DRB1	
UniProt:P07766 CD3E	
UniProt:P04234 CD3D	
UniProt:P01733 TRBV12-3	
UniProt:P04435 TRBV7-9	
UniProt:P01850 TRBC1	
UniProt:P01737 TRAV8-4	
UniProt:P04437 TRAV29DV5	
UniProt:A0A0A6YYK7 TRAV19	
UniProt:P01848 TRAC	
UniProt:P09693 CD3G	
UniProt:P20963-1 CD247	
UniProt:P06239 LCK	
UniProt:P43403 ZAP70	
UniProt:Q93033 CD101	
UniProt:O15117 FYB1	
UniProt:Q9UI08 EVL	
UniProt:Q8N8S7 ENAH	
UniProt:P50552 VASP	
UniProt:Q12913 PTPRJ	
UniProt:P08575 PTPRC	
UniProt:P41240 CSK	
UniProt:Q9Y2R2 PTPN22	
UniProt:Q9NWQ8 PAG1	
UniProt:Q04759 PRKCQ	
UniProt:O95999 BCL10	
UniProt:O15530 PDPK1	
UniProt:Q9BXL7 CARD11	
UniProt:P60484 PTEN	
UniProt:Q9UDY8 MALT1	
UniProt:Q9Y4K3 TRAF6	
UniProt:O14920 IKBKB	
UniProt:O15111 CHUK	
UniProt:Q9Y6K9 IKBKG	
UniProt:P61088 UBE2N	
UniProt:Q13404 UBE2V1	
UniProt:P62979 RPS27A	
UniProt:P0CG48 UBC	
UniProt:P0CG47 UBB	
UniProt:P62987 UBA52	
UniProt:P63208 SKP1	
UniProt:Q13616 CUL1	
UniProt:Q9UKB1 FBXW11	
UniProt:Q9Y297 BTRC	
UniProt:P49427 CDC34	
UniProt:P62837 UBE2D2	
UniProt:P51668 UBE2D1	
UniProt:P19838 NFKB1	
UniProt:Q04206 RELA	
UniProt:P25963 NFKBIA	
UniProt:Q9NYJ8 TAB2	
UniProt:O43318 MAP3K7	
UniProt:P27986 PIK3R1	
UniProt:O00459 PIK3R2	
UniProt:P42336 PIK3CA	
UniProt:P42338 PIK3CB	
UniProt:Q6PIZ9 TRAT1	
UniProt:O43353 RIPK2	
UniProt:O43242 PSMD3	
UniProt:P60900 PSMA6	
UniProt:Q13200 PSMD2	
UniProt:P28066 PSMA5	
UniProt:Q9UNM6 PSMD13	
UniProt:P25789 PSMA4	
UniProt:O00232 PSMD12	
UniProt:P25788 PSMA3	
UniProt:O00231 PSMD11	
UniProt:P25787 PSMA2	
UniProt:P60896 SEM1	
UniProt:O75832 PSMD10	
UniProt:P25786 PSMA1	
UniProt:Q99460 PSMD1	
UniProt:O00487 PSMD14	
UniProt:P62333 PSMC6	
UniProt:P62195 PSMC5	
UniProt:P43686 PSMC4	
UniProt:P17980 PSMC3	
UniProt:P35998 PSMC2	
UniProt:P62191 PSMC1	
UniProt:P28065 PSMB9	
UniProt:P28062 PSMB8	
UniProt:A5LHX3 PSMB11	
UniProt:Q14997 PSME4	
UniProt:Q99436 PSMB7	
UniProt:P28072 PSMB6	
UniProt:Q8TAA3 PSMA8	
UniProt:Q92530 PSMF1	
UniProt:P61289 PSME3	
UniProt:P28074 PSMB5	
UniProt:Q9UL46 PSME2	
UniProt:P28070 PSMB4	
UniProt:Q06323 PSME1	
UniProt:O00233 PSMD9	
UniProt:P49720 PSMB3	
UniProt:P48556 PSMD8	
UniProt:P49721 PSMB2	
UniProt:P51665 PSMD7	
UniProt:Q15008 PSMD6	
UniProt:P40306 PSMB10	
UniProt:Q16401 PSMD5	
UniProt:P20618 PSMB1	
UniProt:P55036 PSMD4	
UniProt:O14818 PSMA7	
UniProt:Q92835 INPP5D	
