"freeze"	"category"	"fc_sum_n_cells"
"Discovery"	"B Cell"	1.08586666666667
"Discovery"	"B Cell plasma"	2.13738888151785
"Discovery"	"Enterocyte"	1.4882171621756
"Discovery"	"Mesenchymal"	4.21491228070175
"Discovery"	"Myeloid"	3.09472
"Discovery"	"Secretory"	1.67104813929669
"Discovery"	"Stem cells"	1.33208510638298
"Discovery"	"T Cell"	2.0985462678222
"Full cohort"	"B Cell"	0.903885208243167
"Full cohort"	"B Cell plasma"	1.92012155415672
"Full cohort"	"Enterocyte"	1.09885382843505
"Full cohort"	"Mesenchymal"	2.84117647058824
"Full cohort"	"Myeloid"	2.72861538461538
"Full cohort"	"Secretory"	0.967364753934249
"Full cohort"	"Stem cells"	0.904131408661025
"Full cohort"	"T Cell"	1.54084753167322
"Replication"	"B Cell"	0.762653736991485
"Replication"	"B Cell plasma"	1.76976402534203
"Replication"	"Enterocyte"	0.94810594394826
"Replication"	"Mesenchymal"	2.14823008849558
"Replication"	"Myeloid"	2.38962962962963
"Replication"	"Secretory"	0.75171331415119
"Replication"	"Stem cells"	0.727259936686599
"Replication"	"T Cell"	1.14240774953812
