experiment_id	sanger_sample_id	cohort
5892STDY8039553	5892STDY8039553	Discovery
5892STDY8039649	5892STDY8039649	Discovery
5892STDY8039745	5892STDY8039745	Discovery
5892STDY8039841	5892STDY8039841	Discovery
5892STDY8356878	5892STDY8356878	Discovery
5892STDY8356974	5892STDY8356974	Discovery
5892STDY8357070	5892STDY8357070	Discovery
5892STDY8357166	5892STDY8357166	Discovery
5892STDY8357262	5892STDY8357262	Discovery
5892STDY8357358	5892STDY8357358	Discovery
5892STDY8357359	5892STDY8357359	Discovery
5892STDY8357454	5892STDY8357454	Discovery
5892STDY8357455	5892STDY8357455	Discovery
5892STDY8357550	5892STDY8357550	Discovery
5892STDY8357646	5892STDY8357646	Discovery
5892STDY8357647	5892STDY8357647	Discovery
5892STDY8357742	5892STDY8357742	Discovery
5892STDY8644304	5892STDY8644304	Discovery
5892STDY8644400	5892STDY8644400	Discovery
5892STDY8644401	5892STDY8644401	Discovery
Crohns_Disease_Collection_Study8727199	Crohns_Disease_Collection_Study8727199	Discovery
Crohns_Disease_Collection_Study8727295	Crohns_Disease_Collection_Study8727295	Discovery
Crohns_Disease_Collection_Study8727391	Crohns_Disease_Collection_Study8727391	Discovery
Crohns_Disease_Collection_Study8727393	Crohns_Disease_Collection_Study8727393	Discovery
Crohns_Disease_Collection_Study8727487	Crohns_Disease_Collection_Study8727487	Discovery
OTARscRNA8355918	OTARscRNA8355918	Discovery
OTARscRNA8356014	OTARscRNA8356014	Discovery
OTARscRNA8356110	OTARscRNA8356110	Discovery
OTARscRNA8356302	OTARscRNA8356302	Discovery
OTARscRNA8356398	OTARscRNA8356398	Discovery
OTARscRNA8356590	OTARscRNA8356590	Discovery
OTARscRNA8356686	OTARscRNA8356686	Discovery
OTARscRNA8356782	OTARscRNA8356782	Discovery
OTARscRNA8966183	OTARscRNA8966183	Discovery
OTARscRNA8966185	OTARscRNA8966185	Discovery
OTARscRNA8966193	OTARscRNA8966193	Discovery
OTARscRNA9294488	OTARscRNA9294488	Discovery
OTARscRNA9294490	OTARscRNA9294490	Discovery
OTARscRNA9294492	OTARscRNA9294492	Discovery
OTARscRNA9294494	OTARscRNA9294494	Discovery
OTARscRNA9294496	OTARscRNA9294496	Discovery
OTARscRNA9294497	OTARscRNA9294497	Discovery
OTARscRNA9294498	OTARscRNA9294498	Discovery
OTARscRNA9294501	OTARscRNA9294501	Discovery
OTARscRNA9294502	OTARscRNA9294502	Discovery
OTARscRNA9294504	OTARscRNA9294504	Discovery
OTARscRNA9294506	OTARscRNA9294506	Discovery
OTARscRNA9294508	OTARscRNA9294508	Discovery
OTARscRNA9342932	OTARscRNA9342932	Discovery
OTARscRNA9342934	OTARscRNA9342934	Discovery
OTARscRNA9342936	OTARscRNA9342936	Discovery
5892STDY10205765	5892STDY10205765	Replication
5892STDY10315936	5892STDY10315936	Replication
5892STDY10315937	5892STDY10315937	Replication
5892STDY10315938	5892STDY10315938	Replication
5892STDY10653007	5892STDY10653007	Replication
5892STDY10653008	5892STDY10653008	Replication
5892STDY10653009	5892STDY10653009	Replication
5892STDY10653010	5892STDY10653010	Replication
