"Var1"	"Var2"	"Correlation"	"freeze"
"B cell"	"B cell"	1	"Discovery"
"B cell activated"	"B cell"	0.163092366897343	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell"	0.242185405294631	"Discovery"
"B cell memory (1)"	"B cell"	0.359649881756619	"Discovery"
"B cell memory (2)"	"B cell"	0.416062433764463	"Discovery"
"B cell naive"	"B cell"	0.31481074592453	"Discovery"
"B cell plasma IgA (1)"	"B cell"	0.0393724926355298	"Discovery"
"B cell plasma IgA (2)"	"B cell"	0.0665709434113246	"Discovery"
"B cell plasma IgA (3)"	"B cell"	0.0549261995892877	"Discovery"
"Dendritic cell"	"B cell"	0.119784994624806	"Discovery"
"Endocrine cell"	"B cell"	-0.0948176178791735	"Discovery"
"Endothelial cell"	"B cell"	-0.0419910173210138	"Discovery"
"Enterocyte middle villus (1)"	"B cell"	-0.0811334228896648	"Discovery"
"Enterocyte middle villus (2)"	"B cell"	-0.0882012044084387	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell"	-0.0883513516066763	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell"	-0.0837314882431878	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell"	-0.0968226229604881	"Discovery"
"Enterocyte top villus"	"B cell"	-0.0795345034537885	"Discovery"
"Enterocytes BEST4"	"B cell"	-0.0541598950533912	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell"	-0.0484705613761429	"Discovery"
"Goblet cell crypt MKI67+"	"B cell"	-0.0985163398890668	"Discovery"
"Goblet cell middle villus"	"B cell"	-0.0984295406487243	"Discovery"
"Goblet cell top villus"	"B cell"	-0.0936289387454354	"Discovery"
"ILC1/NKs"	"B cell"	0.0207532121819577	"Discovery"
"ILC3"	"B cell"	0.0175684341600569	"Discovery"
"Mac (1)"	"B cell"	-0.00915330077976991	"Discovery"
"Mac (2)"	"B cell"	0.0736115111377427	"Discovery"
"Mac intermediate (1)"	"B cell"	0.0170805687925251	"Discovery"
"Mac intermediate (2)"	"B cell"	0.00142665815850262	"Discovery"
"Mast"	"B cell"	0.0390804121212675	"Discovery"
"Monocytes"	"B cell"	0.00453841936447996	"Discovery"
"Paneth cell"	"B cell"	-0.0710853285816715	"Discovery"
"Pericytes"	"B cell"	-0.0314213542784579	"Discovery"
"Smooth muscle cell"	"B cell"	-0.0320824979383812	"Discovery"
"Stem cell LGR5+"	"B cell"	-0.0710304822829429	"Discovery"
"Stem cell MKI67+ (1)"	"B cell"	-0.0983347258176506	"Discovery"
"Stem cell MKI67+ (2)"	"B cell"	-0.0851344339268698	"Discovery"
"T cell CD4 naive"	"B cell"	0.0492870795187526	"Discovery"
"T cell CD4 proliferating"	"B cell"	0.0148258834539531	"Discovery"
"T cell CD4- CD8-"	"B cell"	0.190353941762453	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell"	0.00740256725539759	"Discovery"
"T cell CD4+ memory"	"B cell"	0.0102353592197267	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell"	0.0242539474634131	"Discovery"
"T cell CD4+ Treg"	"B cell"	0.028097533640681	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell"	0.0294517120273422	"Discovery"
"T cell CD8+ GZMK+"	"B cell"	0.0195740906079021	"Discovery"
"T cell CD8+ tissue-resident"	"B cell"	0.0174661983508642	"Discovery"
"T cell gd"	"B cell"	0.0279644801661283	"Discovery"
"Tuft cell"	"B cell"	-0.064658122063612	"Discovery"
"B cell"	"B cell activated"	0.163092366897343	"Discovery"
"B cell activated"	"B cell activated"	1	"Discovery"
"B cell germinal centre/plasmablasts"	"B cell activated"	0.655697317903177	"Discovery"
"B cell memory (1)"	"B cell activated"	0.188988007387206	"Discovery"
"B cell memory (2)"	"B cell activated"	0.209630893360301	"Discovery"
"B cell naive"	"B cell activated"	0.193491907463536	"Discovery"
"B cell plasma IgA (1)"	"B cell activated"	-0.0641233735077075	"Discovery"
"B cell plasma IgA (2)"	"B cell activated"	0.0337276220545928	"Discovery"
"B cell plasma IgA (3)"	"B cell activated"	0.0238361611676601	"Discovery"
"Dendritic cell"	"B cell activated"	0.0411729936811334	"Discovery"
"Endocrine cell"	"B cell activated"	-0.13799914884675	"Discovery"
"Endothelial cell"	"B cell activated"	-0.0990432908781656	"Discovery"
"Enterocyte middle villus (1)"	"B cell activated"	-0.173441713221355	"Discovery"
"Enterocyte middle villus (2)"	"B cell activated"	-0.174135048522239	"Discovery"
"Enterocyte precursor crypt OLFM4+ KRT20++"	"B cell activated"	-0.14752633700781	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (1)"	"B cell activated"	-0.075734621063897	"Discovery"
"Enterocyte progenitor crypt OLFM4++ KRT20+ (2)"	"B cell activated"	-0.0787625866704759	"Discovery"
"Enterocyte top villus"	"B cell activated"	-0.177084461823535	"Discovery"
"Enterocytes BEST4"	"B cell activated"	-0.133015436444406	"Discovery"
"Fibroblast/Myofibroblasts"	"B cell activated"	-0.131490191271998	"Discovery"
"Goblet cell crypt MKI67+"	"B cell activated"	0.173041932212719	"Discovery"
"Goblet cell middle villus"	"B cell activated"	-0.168807143440148	"Discovery"
"Goblet cell top villus"	"B cell activated"	-0.190343541330841	"Discovery"
"ILC1/NKs"	"B cell activated"	0.0223583980204717	"Discovery"
"ILC3"	"B cell activated"	-0.011188792861243	"Discovery"
"Mac (1)"	"B cell activated"	-0.0378037288267502	"Discovery"
"Mac (2)"	"B cell activated"	-0.0373673283261203	"Discovery"
"Mac intermediate (1)"	"B cell activated"	-0.0176756558867873	"Discovery"
"Mac intermediate (2)"	"B cell activated"	-0.0508404090245679	"Discovery"
"Mast"	"B cell activated"	-0.0558602483254654	"Discovery"
"Monocytes"	"B cell activated"	-0.055425337626302	"Discovery"
"Paneth cell"	"B cell activated"	-0.0549703553284912	"Discovery"
"Pericytes"	"B cell activated"	-0.0949734491600857	"Discovery"
"Smooth muscle cell"	"B cell activated"	-0.0985148627560415	"Discovery"
"Stem cell LGR5+"	"B cell activated"	-0.0584575488936362	"Discovery"
"Stem cell MKI67+ (1)"	"B cell activated"	0.198010361242921	"Discovery"
"Stem cell MKI67+ (2)"	"B cell activated"	0.14391401627659	"Discovery"
"T cell CD4 naive"	"B cell activated"	-0.0339021667613154	"Discovery"
"T cell CD4 proliferating"	"B cell activated"	0.446235363595788	"Discovery"
"T cell CD4- CD8-"	"B cell activated"	-0.0102438539066133	"Discovery"
"T cell CD4+ CXCR6+ memory"	"B cell activated"	0.00811648199349076	"Discovery"
"T cell CD4+ memory"	"B cell activated"	-0.035559202956029	"Discovery"
"T cell CD4+ PASK+ CCR7+"	"B cell activated"	-0.0173958517014865	"Discovery"
"T cell CD4+ Treg"	"B cell activated"	0.0354003023204997	"Discovery"
"T cell CD8+ FGFBP2+ effector"	"B cell activated"	0.00778398739905707	"Discovery"
"T cell CD8+ GZMK+"	"B cell activated"	-0.00504715841926745	"Discovery"
"T cell CD8+ tissue-resident"	"B cell activated"	-0.00497565923106426	"Discovery"
"T cell gd"	"B cell activated"	0.0425500952879775	"Discovery"
"Tuft cell"	"B cell activated"	-0.0727697319432841	"Discovery"
